MATCH_ID,PLAYER_NAME,OPPONENT_TEAM,VENUE,MATCH_FORMAT,RUNS_SCORED,BALLS_FACED,FOURS,SIXES
72,SURYAKUMAR YADAV,SOUTH AFRICA,NEW CHANDIGARH,T20I,5,4,1,0
73,SURYAKUMAR YADAV,SOUTH AFRICA,DHARAMSALA,T20I,12,11,2,0
74,SURYAKUMAR YADAV,SOUTH AFRICA,AHMEDABAD,T20I,5,7,0,0
75,SURYAKUMAR YADAV,SOUTH AFRICA,AHMEDABAD,T20I,18,22,2,0
76,SURYAKUMAR YADAV,U.S.A,NEW YORK,T20I,50,49,2,2
77,SURYAKUMAR YADAV,U.S.A,WANKHEDE,T20I,84,49,10,4
78,SURYAKUMAR YADAV,WEST INDIES,BASSETERRE,T20I,11,6,0,1
79,SURYAKUMAR YADAV,WEST INDIES,BASSETERRE,T20I,76,44,8,4
80,SURYAKUMAR YADAV,WEST INDIES,LAUDERHILL,T20I,24,14,1,2
81,SURYAKUMAR YADAV,WEST INDIES,TAROUBA,T20I,21,21,2,1
82,SURYAKUMAR YADAV,WEST INDIES,PROVIDENCE,T20I,1,3,0,0
83,SURYAKUMAR YADAV,WEST INDIES,PROVIDENCE,T20I,83,44,10,4
84,SURYAKUMAR YADAV,WEST INDIES,LAUDERHILL,T20I,0,0,0,0
85,SURYAKUMAR YADAV,WEST INDIES,LAUDERHILL,T20I,61,45,4,3
86,SURYAKUMAR YADAV,WEST INDIES,EDEN GARDENS,T20I,18,16,1,1
87,SURYAKUMAR YADAV,AUSTRALIA,WANKHEDE,ODI,0,1,0,0
88,SURYAKUMAR YADAV,AUSTRALIA,VISAKHAPATNAM,ODI,0,1,0,0
89,SURYAKUMAR YADAV,AUSTRALIA,CHENNAI,ODI,0,1,0,0
90,SURYAKUMAR YADAV,AUSTRALIA,MOHALI,ODI,50,49,5,1
91,SURYAKUMAR YADAV,AUSTRALIA,INDORE,ODI,72,37,6,6
92,SURYAKUMAR YADAV,AUSTRALIA,RAJKOT,ODI,8,7,1,0
93,SURYAKUMAR YADAV,AUSTRALIA,AHMEDABAD,ODI,18,28,1,0
94,SURYAKUMAR YADAV,BANGLADESH,COLOMBO,ODI,26,34,3,0
95,SURYAKUMAR YADAV,ENGLAND,THW OVAL,ODI,0,0,0,0
96,SURYAKUMAR YADAV,ENGLAND,LORD'S,ODI,27,29,1,1
97,SURYAKUMAR YADAV,ENGLAND,MANCHESTER,ODI,16,28,1,0
98,SURYAKUMAR YADAV,ENGLAND,LUCKNOW,ODI,49,47,4,1
99,SURYAKUMAR YADAV,NETHERLANDS,BENGALURU,ODI,2,1,0,0
100,SURYAKUMAR YADAV,NEW ZEALAND,HYDERABAD,ODI,31,26,4,0
101,SURYAKUMAR YADAV,NEW ZEALAND,RAIPUR,ODI,0,0,0,0
102,SURYAKUMAR YADAV,NEW ZEALAND,INDORE,ODI,14,9,0,2
103,SURYAKUMAR YADAV,NEW ZEALAND,DHARAMSALA,ODI,2,4,0,0
104,SURYAKUMAR YADAV,NEW ZEALAND,WANKHEDE,ODI,1,2,0,0
105,SURYAKUMAR YADAV,SOUTH AFRICA,CAPE TOWN,ODI,39,32,4,1
106,SURYAKUMAR YADAV,SOUTH AFRICA,EDEN GARDENS,ODI,22,14,5,0
107,SURYAKUMAR YADAV,SRI LANKA,COLOMBO,ODI,31,20,5,0
108,SURYAKUMAR YADAV,SRI LANKA,COLOMBO,ODI,53,44,6,0
109,SURYAKUMAR YADAV,SRI LANKA,COLOMBO,ODI,40,37,7,0
110,SURYAKUMAR YADAV,SRI LANKA,THIRUVANANTHAPURAM,ODI,4,4,0,0
111,SURYAKUMAR YADAV,SRI LANKA,WANKHEDE,ODI,12,9,2,0
112,SURYAKUMAR YADAV,WEST INDIES,AHMEDABAD,ODI,34,36,5,0
113,SURYAKUMAR YADAV,WEST INDIES,AHMEDABAD,ODI,64,83,5,0
114,SURYAKUMAR YADAV,WEST INDIES,AHMEDABAD,ODI,6,7,1,0
115,SURYAKUMAR YADAV,WEST INDIES,PORT OF SPAIN,ODI,13,14,2,0
116,SURYAKUMAR YADAV,WEST INDIES,PORT OF SPAIN,ODI,9,8,0,1
117,SURYAKUMAR YADAV,WEST INDIES,PORT OF SPAIN,ODI,8,6,1,0
118,SURYAKUMAR YADAV,WEST INDIES,BRIDGETOWN,ODI,19,25,3,1
119,SURYAKUMAR YADAV,WEST INDIES,BRIDGETOWN,ODI,24,25,3,0
120,SURYAKUMAR YADAV,WEST INDIES,TAROUBA,ODI,35,30,2,2
121,SHUBHMAN GILL,AFGHANISTAN,MOHALI,T20I,23,12,5,0
122,SHUBHMAN GILL,AUSTRALIA,MELBOURNE,T20I,5,10,0,0
123,SHUBHMAN GILL,AUSTRALIA,CANBERRA,T20I,37,20,4,1
124,SHUBHMAN GILL,AUSTRALIA,HOBART,T20I,15,12,1,0
125,SHUBHMAN GILL,AUSTRALIA,CARRARA,T20I,46,39,4,1
126,SHUBHMAN GILL,AUSTRALIA,BRISBANE,T20I,29,16,6,0
127,SHUBHMAN GILL,BANGLADESH,DUBAI,T20I,29,19,2,1
128,SHUBHMAN GILL,NEW ZEALAND,RANCHI,T20I,7,6,1,0
129,SHUBHMAN GILL,NEW ZEALAND,LUCKNOW,T20I,11,9,2,0
130,SHUBHMAN GILL,NEW ZEALAND,AHMEDABAD,T20I,126,63,12,7
131,SHUBHMAN GILL,PAKISTAN,DUBAI,T20I,10,7,2,0
132,SHUBHMAN GILL,PAKISTAN,DUBAI,T20I,47,28,8,0
133,SHUBHMAN GILL,PAKISTAN,DUBAI,T20I,12,10,1,0
134,SHUBHMAN GILL,SOUTH AFRICA,GQEBERHA,T20I,0,2,0,0
135,SHUBHMAN GILL,SOUTH AFRICA,JOHANNESBURG,T20I,8,6,2,0
136,SHUBHMAN GILL,SOUTH AFRICA,CUTTACK,T20I,4,2,1,0
137,SHUBHMAN GILL,SOUTH AFRICA,NEW CHANDIGARH,T20I,0,1,0,0
138,SHUBHMAN GILL,SOUTH AFRICA,DHARAMSALA,T20I,28,28,5,0
